time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,28,11,0,0
2026-05-01 00:00:00+00:00,35,10,0,0
2026-05-02 00:00:00+00:00,34,11,0,0
2026-05-03 00:00:00+00:00,12,6,0,0
2026-05-04 00:00:00+00:00,17,6,1,1
2026-05-05 00:00:00+00:00,22,6,0,0
2026-05-06 00:00:00+00:00,16,6,0,0
2026-05-07 00:00:00+00:00,14,4,0,0
2026-05-08 00:00:00+00:00,23,9,0,0
2026-05-09 00:00:00+00:00,14,8,0,0
2026-05-10 00:00:00+00:00,24,7,0,0
2026-05-11 00:00:00+00:00,7,2,0,0
2026-05-12 00:00:00+00:00,23,7,0,0
2026-05-13 00:00:00+00:00,23,7,0,0
